Hypothesis,Group,Variable,n Elite,n Others,Mean Elite,Mean Others,Median Elite,Median Others,SD Elite,SD Others,Normality Elite,Normality Others,Method,Statistic,p-value,Significance,Result,Interpretation sentence
H4,Men U20,"Relative leg length (RLL, %)",17,54,48.654,47.206,48.765,48.121,3.019,6.136,normal,non-normal,Mann-Whitney U test,525.5,0.374,ns,not statistically significant,"In Men U20, elite athletes had higher mean Relative leg length (RLL, %) than the remaining athletes (48.65 vs 47.21); this difference was not statistically significant (Mann-Whitney U test, p = 0.374)."
H4,Men U20,"Relative arm length (RAL, %)",17,54,36.735,36.28,36.723,36.235,1.587,2.963,normal,non-normal,Mann-Whitney U test,568.0,0.144,ns,not statistically significant,"In Men U20, elite athletes had higher mean Relative arm length (RAL, %) than the remaining athletes (36.73 vs 36.28); this difference was not statistically significant (Mann-Whitney U test, p = 0.144)."
H4,Men U23,"Relative leg length (RLL, %)",12,34,49.081,47.509,47.819,48.519,5.654,5.96,normal,non-normal,Mann-Whitney U test,180.0,0.557,ns,not statistically significant,"In Men U23, elite athletes had higher mean Relative leg length (RLL, %) than the remaining athletes (49.08 vs 47.51); this difference was not statistically significant (Mann-Whitney U test, p = 0.557)."
H4,Men U23,"Relative arm length (RAL, %)",12,34,38.805,35.856,37.094,36.185,4.038,2.988,non-normal,non-normal,Mann-Whitney U test,298.0,0.019,*,statistically significant,"In Men U23, elite athletes had higher mean Relative arm length (RAL, %) than the remaining athletes (38.80 vs 35.86); this difference was statistically significant (Mann-Whitney U test, p = 0.019)."
H4,Women U20,"Relative leg length (RLL, %)",13,47,42.583,47.792,48.276,49.541,10.053,6.466,non-normal,non-normal,Mann-Whitney U test,189.5,0.038,*,statistically significant,"In Women U20, elite athletes had lower mean Relative leg length (RLL, %) than the remaining athletes (42.58 vs 47.79); this difference was statistically significant (Mann-Whitney U test, p = 0.038)."
H4,Women U20,"Relative arm length (RAL, %)",13,47,35.231,35.821,35.077,35.714,1.476,1.607,normal,non-normal,Mann-Whitney U test,220.0,0.127,ns,not statistically significant,"In Women U20, elite athletes had lower mean Relative arm length (RAL, %) than the remaining athletes (35.23 vs 35.82); this difference was not statistically significant (Mann-Whitney U test, p = 0.127)."
H4,Women U23,"Relative leg length (RLL, %)",8,29,50.276,44.871,50.387,48.875,1.682,8.736,normal,non-normal,Mann-Whitney U test,173.0,0.037,*,statistically significant,"In Women U23, elite athletes had higher mean Relative leg length (RLL, %) than the remaining athletes (50.28 vs 44.87); this difference was statistically significant (Mann-Whitney U test, p = 0.037)."
H4,Women U23,"Relative arm length (RAL, %)",8,29,33.881,36.069,34.754,36.013,3.783,1.011,non-normal,normal,Mann-Whitney U test,57.0,0.029,*,statistically significant,"In Women U23, elite athletes had lower mean Relative arm length (RAL, %) than the remaining athletes (33.88 vs 36.07); this difference was statistically significant (Mann-Whitney U test, p = 0.029)."
H4,Whole sample,"Relative leg length (RLL, %)",50,164,47.437,47.024,48.69,48.794,6.637,6.738,non-normal,non-normal,Mann-Whitney U test,4145.5,0.907,ns,not statistically significant,"In Whole sample, elite athletes had higher mean Relative leg length (RLL, %) than the remaining athletes (47.44 vs 47.02); this difference was not statistically significant (Mann-Whitney U test, p = 0.907)."
H4,Whole sample,"Relative arm length (RAL, %)",50,164,36.384,36.023,36.182,36.148,3.149,2.368,non-normal,non-normal,Mann-Whitney U test,4267.5,0.663,ns,not statistically significant,"In Whole sample, elite athletes had higher mean Relative arm length (RAL, %) than the remaining athletes (36.38 vs 36.02); this difference was not statistically significant (Mann-Whitney U test, p = 0.663)."
